word1,word2,word3,frequency
He,could,see,5
Hendricks,made,way,4
Hendricks,shook,head,4
shook,head,trying,4
I,thought,I,4
The,Moon,Base,4
I,m,going,3
He,shook,head,3
took,deep,breath,3
I,m,standing,3
