said,Mr,Lorry,72
said,Miss,Pross,44
said,Mr,Cruncher,24
said,Madame,Defarge,20
Mr,Lorry,I,16
I,can,not,14
Mr,Attorney,General,13
I,know,I,13
Mr,Jarvis,Lorry,12
thousand,seven,hundred,11
